(u'wednesday may 23 1990', '1990-05-23')
(u'saturday february 21 1976', '1976-02-21')
(u'sunday october 29 1989', '1989-10-29')
(u'jan 20 1973', '1973-01-20')
(u'jan 22 1973', '1973-01-22')
(u'june 19 1974', '1974-06-19')
(u'saturday july 21 1984', '1984-07-21')
(u'jul 8 1973', '1973-07-08')
(u'26 mar 2001', '2001-03-26')
(u'22 aug 1996', '1996-08-22')
(u'17 march 2011', '2011-03-17')
(u'10/21/71', '1971-10-21')
(u'01 jan 2001', '2001-01-01')
(u'saturday july 31 1976', '1976-07-31')
(u'03.11.17', '2017-11-03')
(u'sunday december 11 1977', '1977-12-11')
(u'sunday august 23 1981', '1981-08-23')
(u'february 24 2016', '2016-02-24')
(u'april 14 2013', '2013-04-14')
(u'4 08 10', '2010-08-04')
(u'8/16/70', '1970-08-16')
(u'12/11/71', '1971-12-11')
(u'1/21/71', '1971-01-21')
(u'wednesday august 2 1995', '1995-08-02')
(u'september 23 2015', '2015-09-23')
(u'tuesday march 22 1977', '1977-03-22')
(u'tuesday july 16 1985', '1985-07-16')
(u'tuesday october 26 1993', '1993-10-26')
(u'2 may 1997', '1997-05-02')
(u'november 24 2015', '2015-11-24')
(u'tuesday november 29 1983', '1983-11-29')
(u'thursday march 19 1987', '1987-03-19')
(u'24 oct 2003', '2003-10-24')
(u'sunday may 15 1988', '1988-05-15')
(u'friday july 12 1985', '1985-07-12')
(u'10 dec 1996', '1996-12-10')
(u'saturday september 29 1979', '1979-09-29')
(u'saturday november 29 1986', '1986-11-29')
(u'07.02.18', '2018-02-07')
(u'august 28 1974', '1974-08-28')
(u'tuesday january 15 1980', '1980-01-15')
(u'08 aug 2000', '2000-08-08')
(u'sunday january 29 1984', '1984-01-29')
(u'wednesday september 28 1994', '1994-09-28')
(u'24 dec 2003', '2003-12-24')
(u'friday july 29 1977', '1977-07-29')
(u'friday april 21 1978', '1978-04-21')
(u'monday december 8 1980', '1980-12-08')
(u'9 february 2005', '2005-02-09')
(u'7 december 1999', '1999-12-07')
(u'24.08.18', '2018-08-24')
(u'wednesday october 22 1986', '1986-10-22')
(u'monday may 23 1994', '1994-05-23')
(u'friday november 17 1978', '1978-11-17')
(u'24.04.17', '2017-04-24')
(u'12 mar 2004', '2004-03-12')
(u'18 sep 2001', '2001-09-18')
(u'sunday march 11 1979', '1979-03-11')
(u'15 08 09', '2009-08-15')
(u'27 december 2010', '2010-12-27')
(u'sunday july 4 1976', '1976-07-04')
(u'sunday july 25 1976', '1976-07-25')
(u'15 june 2012', '2012-06-15')
(u'tuesday april 9 1996', '1996-04-09')
(u'18 jan 2007', '2007-01-18')
(u'november 8 2015', '2015-11-08')
(u'29 dec 2007', '2007-12-29')
(u'wednesday october 12 1977', '1977-10-12')
(u'tuesday july 4 1978', '1978-07-04')
(u'22 aug 2004', '2004-08-22')
(u'31 oct 2000', '2000-10-31')
(u'23 july 2012', '2012-07-23')
(u'7 july 2005', '2005-07-07')
(u'friday april 5 1985', '1985-04-05')
(u'7 december 1999', '1999-12-07')
(u'19 december 1999', '1999-12-19')
(u'02.12.16', '2016-12-02')
(u'03.12.17', '2017-12-03')
(u'saturday february 18 1995', '1995-02-18')
(u'friday february 28 1992', '1992-02-28')
(u'11 mar 2002', '2002-03-11')
(u'friday december 23 1994', '1994-12-23')
(u'friday october 18 1991', '1991-10-18')
(u'sunday march 18 1979', '1979-03-18')
(u'tuesday april 25 1978', '1978-04-25')
(u'monday june 24 1996', '1996-06-24')
(u'saturday february 10 1990', '1990-02-10')
(u'saturday march 25 1995', '1995-03-25')
(u'14 january 2006', '2006-01-14')
(u'tuesday february 21 1978', '1978-02-21')
(u'saturday january 8 1983', '1983-01-08')
(u'27 jun 2008', '2008-06-27')
(u'friday january 11 1985', '1985-01-11')
(u'friday april 24 1987', '1987-04-24')
(u'february 21 2014', '2014-02-21')
(u'9/25/70', '1970-09-25')
(u'thursday december 31 1987', '1987-12-31')
(u'wednesday august 2 1978', '1978-08-02')
(u'08.01.18', '2018-01-08')
(u'october 12 2015', '2015-10-12')
(u'april 7 2014', '2014-04-07')
(u'sunday december 4 1994', '1994-12-04')
(u'23 nov 1997', '1997-11-23')
(u'17 august 1999', '1999-08-17')
(u'24 august 2005', '2005-08-24')
(u'26 aug 2008', '2008-08-26')
(u'23 may 2012', '2012-05-23')
(u'7 august 1999', '1999-08-07')
(u'apr 27 1973', '1973-04-27')
(u'14 december 2004', '2004-12-14')
(u'friday june 15 1990', '1990-06-15')
(u'sunday february 26 1995', '1995-02-26')
(u'04 dec 2006', '2006-12-04')
(u'november 15 2014', '2014-11-15')
(u'24 sep 2002', '2002-09-24')
(u'12 july 2000', '2000-07-12')
(u'28.10.18', '2018-10-28')
(u'10/20/70', '1970-10-20')
(u'9 february 2005', '2005-02-09')
(u'november 11 1974', '1974-11-11')
(u'6 mar 1997', '1997-03-06')
(u'friday july 16 1982', '1982-07-16')
(u'friday october 30 1987', '1987-10-30')
(u'22 october 2010', '2010-10-22')
(u'wednesday november 27 1985', '1985-11-27')
(u'february 17 2014', '2014-02-17')
(u'30 sep 2000', '2000-09-30')
(u'march 13 2014', '2014-03-13')
(u'28 nov 2000', '2000-11-28')
(u'6 november 1999', '1999-11-06')
(u'18 jan 1997', '1997-01-18')
(u'november 4 2014', '2014-11-04')
(u'6/20/70', '1970-06-20')
(u'june 3 1975', '1975-06-03')
(u'tuesday september 2 1980', '1980-09-02')
(u'august 30 2013', '2013-08-30')
(u'04.03.17', '2017-03-04')
(u'tuesday june 13 1978', '1978-06-13')
(u'wednesday january 4 1984', '1984-01-04')
(u'friday january 1 1993', '1993-01-01')
(u'friday february 27 1981', '1981-02-27')
(u'sunday may 18 1980', '1980-05-18')
(u'saturday december 23 1978', '1978-12-23')
(u'30 06 09', '2009-06-30')
(u'saturday october 23 1976', '1976-10-23')
(u'5 may 1999', '1999-05-05')
(u'24 december 2011', '2011-12-24')
(u'tuesday september 30 1980', '1980-09-30')
(u'wednesday december 12 1990', '1990-12-12')
(u'10/25/70', '1970-10-25')
(u'september 22 1975', '1975-09-22')
(u'tuesday march 12 1991', '1991-03-12')
(u'25 march 2000', '2000-03-25')
(u'thursday january 3 1980', '1980-01-03')
(u'december 18 2014', '2014-12-18')
(u'17 jan 1998', '1998-01-17')
(u'13.11.18', '2018-11-13')
(u'monday january 17 1994', '1994-01-17')
(u'25 october 1998', '1998-10-25')
(u'30 dec 2002', '2002-12-30')
(u'12 may 2001', '2001-05-12')
(u'19 may 1998', '1998-05-19')
(u'7 february 2000', '2000-02-07')
(u'wednesday august 18 1982', '1982-08-18')
(u'8 august 2005', '2005-08-08')
(u'30 august 2006', '2006-08-30')
(u'5 august 1999', '1999-08-05')
(u'tuesday january 6 1987', '1987-01-06')
(u'thursday july 23 1987', '1987-07-23')
(u'thursday july 7 1983', '1983-07-07')
(u'1/3/72', '1972-01-03')
(u'16 oct 1996', '1996-10-16')
(u'20 august 2012', '2012-08-20')
(u'15 sep 1996', '1996-09-15')
(u'25.12.17', '2017-12-25')
(u'26 apr 1998', '1998-04-26')
(u'9/1/71', '1971-09-01')
(u'7 september 1999', '1999-09-07')
(u'3/18/71', '1971-03-18')
(u'thursday march 19 1987', '1987-03-19')
(u'28.06.18', '2018-06-28')
(u'7 january 2012', '2012-01-07')
(u'thursday january 26 1989', '1989-01-26')
(u'wednesday may 9 1979', '1979-05-09')
(u'jun 12 1973', '1973-06-12')
(u'monday october 11 1976', '1976-10-11')
(u'friday november 21 1980', '1980-11-21')
(u'16 july 2011', '2011-07-16')
(u'wednesday october 22 1986', '1986-10-22')
(u'16 june 2012', '2012-06-16')
(u'august 28 2015', '2015-08-28')
(u'18.07.18', '2018-07-18')
(u'monday july 22 1985', '1985-07-22')
(u'18 may 2007', '2007-05-18')
(u'13 feb 2003', '2003-02-13')
(u'friday june 17 1977', '1977-06-17')
(u'18 mar 2008', '2008-03-18')
(u'15 july 2000', '2000-07-15')
(u'march 25 1975', '1975-03-25')
(u'tuesday july 17 1990', '1990-07-17')
(u'monday june 25 1984', '1984-06-25')
(u'thursday august 5 1993', '1993-08-05')
(u'saturday march 21 1981', '1981-03-21')
(u'tuesday march 13 1979', '1979-03-13')
(u'6/23/70', '1970-06-23')
(u'30 jan 2002', '2002-01-30')
(u'saturday june 16 1984', '1984-06-16')
(u'wednesday january 16 1985', '1985-01-16')
(u'22 feb 2001', '2001-02-22')
(u'6 may 2005', '2005-05-06')
(u'tuesday march 13 1990', '1990-03-13')
(u'27.06.17', '2017-06-27')
(u'monday june 20 1977', '1977-06-20')
(u'monday june 1 1981', '1981-06-01')
(u'27 jul 2008', '2008-07-27')
(u'saturday march 3 1990', '1990-03-03')
(u'saturday april 30 1977', '1977-04-30')
(u'08 aug 2008', '2008-08-08')
(u'nov 5 1973', '1973-11-05')
(u'12 october 2012', '2012-10-12')
(u'monday january 6 1986', '1986-01-06')
(u'02 mar 2007', '2007-03-02')
(u'friday november 11 1988', '1988-11-11')
(u'saturday may 11 1996', '1996-05-11')
(u'thursday april 5 1984', '1984-04-05')
(u'1 may 2011', '2011-05-01')
(u'thursday november 12 1987', '1987-11-12')
(u'june 30 1975', '1975-06-30')
(u'september 19 2015', '2015-09-19')
(u'28 aug 2008', '2008-08-28')
(u'thursday july 11 1985', '1985-07-11')
(u'wednesday february 6 1991', '1991-02-06')
(u'friday april 13 1990', '1990-04-13')
(u'thursday september 14 1978', '1978-09-14')
(u'22 10 08', '2008-10-22')
(u'12 dec 2006', '2006-12-12')
(u'16 12 08', '2008-12-16')
(u'monday september 25 1978', '1978-09-25')
(u'tuesday december 22 1987', '1987-12-22')
(u'16 mar 2003', '2003-03-16')
(u'november 2 1974', '1974-11-02')
(u'11 feb 2007', '2007-02-11')
(u'saturday august 16 1986', '1986-08-16')
(u'1/23/70', '1970-01-23')
(u'saturday november 8 1986', '1986-11-08')
(u'august 19 2014', '2014-08-19')
(u'saturday october 3 1987', '1987-10-03')
(u'friday august 9 1985', '1985-08-09')
(u'july 1 1975', '1975-07-01')
(u'monday september 12 1988', '1988-09-12')
(u'september 13 1974', '1974-09-13')
(u'7/25/70', '1970-07-25')
(u'10 jul 2001', '2001-07-10')
(u'20 12 08', '2008-12-20')
(u'monday june 12 1989', '1989-06-12')
(u'december 21 2015', '2015-12-21')
(u'monday june 27 1994', '1994-06-27')
(u'friday july 16 1993', '1993-07-16')
(u'friday august 20 1993', '1993-08-20')
(u'july 8 2013', '2013-07-08')
(u'saturday february 4 1995', '1995-02-04')
(u'tuesday november 28 1989', '1989-11-28')
(u'saturday june 9 1984', '1984-06-09')
(u'friday august 5 1994', '1994-08-05')
(u'22 march 1999', '1999-03-22')
(u'friday august 2 1991', '1991-08-02')
(u'january 31 2014', '2014-01-31')
(u'6/19/71', '1971-06-19')
(u'sunday august 11 1991', '1991-08-11')
(u'may 16 1974', '1974-05-16')
(u'friday december 4 1987', '1987-12-04')
(u'10 august 2011', '2011-08-10')
(u'23.07.17', '2017-07-23')
(u'monday may 26 1986', '1986-05-26')
(u'07 nov 2000', '2000-11-07')
(u'saturday february 14 1981', '1981-02-14')
(u'feb 28 1972', '1972-02-28')
(u'3/31/71', '1971-03-31')
(u'9 september 1999', '1999-09-09')
(u'8 jan 1998', '1998-01-08')
(u'14 04 10', '2010-04-14')
(u'1 september 2006', '2006-09-01')
(u'wednesday august 8 1979', '1979-08-08')
(u'jun 14 1973', '1973-06-14')
(u'9 june 2006', '2006-06-09')
(u'thursday september 10 1981', '1981-09-10')
(u'25 03 09', '2009-03-25')
(u'26 jan 1997', '1997-01-26')
(u'8 03 10', '2010-03-08')
(u'monday july 24 1978', '1978-07-24')
(u'saturday june 27 1987', '1987-06-27')
(u'july 23 2013', '2013-07-23')
(u'august 9 1975', '1975-08-09')
(u'friday september 30 1994', '1994-09-30')
(u'wednesday october 10 1990', '1990-10-10')
(u'november 17 2015', '2015-11-17')
(u'tuesday april 10 1979', '1979-04-10')
(u'17 nov 2001', '2001-11-17')
(u'wednesday december 14 1977', '1977-12-14')
(u'sunday february 23 1992', '1992-02-23')
(u'sunday july 5 1987', '1987-07-05')
(u'monday december 4 1978', '1978-12-04')
(u'18 april 2006', '2006-04-18')
(u'tuesday june 11 1991', '1991-06-11')
(u'18 july 2005', '2005-07-18')
(u'november 27 2012', '2012-11-27')
(u'october 21 1975', '1975-10-21')
(u'may 25 2015', '2015-05-25')
(u'05.02.17', '2017-02-05')
(u'thursday march 12 1992', '1992-03-12')
(u'8/28/71', '1971-08-28')
(u'friday september 3 1982', '1982-09-03')
(u'february 17 1975', '1975-02-17')
(u'friday may 12 1978', '1978-05-12')
(u'thursday june 30 1983', '1983-06-30')
(u'28 mar 1997', '1997-03-28')
(u'september 14 1974', '1974-09-14')
(u'february 6 2016', '2016-02-06')
(u'friday november 13 1992', '1992-11-13')
(u'thursday june 3 1982', '1982-06-03')
(u'1/20/71', '1971-01-20')
(u'21 september 1998', '1998-09-21')
(u'1 06 09', '2009-06-01')
(u'29 november 2011', '2011-11-29')
(u'24 april 2000', '2000-04-24')
(u'5 sep 1996', '1996-09-05')
(u'12/22/70', '1970-12-22')
(u'wednesday april 12 1989', '1989-04-12')
(u'23.05.18', '2018-05-23')
(u'monday august 28 1978', '1978-08-28')
(u'2 07 10', '2010-07-02')
(u'28 may 2001', '2001-05-28')
(u'25 jan 2003', '2003-01-25')
(u'sunday may 9 1993', '1993-05-09')
(u'thursday august 17 1989', '1989-08-17')
(u'21 jan 2008', '2008-01-21')
(u'15 june 2005', '2005-06-15')
(u'thursday april 20 1995', '1995-04-20')
(u'1/23/70', '1970-01-23')
(u'tuesday june 4 1991', '1991-06-04')
(u'wednesday june 2 1982', '1982-06-02')
(u'dec 17 1973', '1973-12-17')
(u'saturday april 22 1995', '1995-04-22')
(u'thursday january 26 1989', '1989-01-26')
(u'26.07.18', '2018-07-26')
(u'thursday may 24 1984', '1984-05-24')
(u'1 may 2012', '2012-05-01')
(u'thursday may 19 1977', '1977-05-19')
(u'27 sep 1996', '1996-09-27')
(u'wednesday june 3 1987', '1987-06-03')
(u'5/28/71', '1971-05-28')
(u'september 29 1974', '1974-09-29')
(u'22 nov 1997', '1997-11-22')
(u'20 june 2012', '2012-06-20')
(u'6/18/71', '1971-06-18')
(u'monday june 25 1979', '1979-06-25')
(u'11 12 09', '2009-12-11')
(u'02 jul 2001', '2001-07-02')
(u'8 aug 2003', '2003-08-08')
(u'sunday april 28 1996', '1996-04-28')
(u'monday november 30 1981', '1981-11-30')
(u'wednesday march 30 1994', '1994-03-30')
(u'mar 15 1972', '1972-03-15')
(u'9 december 2011', '2011-12-09')
(u'5/7/70', '1970-05-07')
(u'12/30/71', '1971-12-30')
(u'friday april 19 1996', '1996-04-19')
(u'february 7 1974', '1974-02-07')
(u'wednesday february 19 1986', '1986-02-19')
(u'02 feb 2007', '2007-02-02')
(u'saturday july 14 1990', '1990-07-14')
(u'12 feb 2003', '2003-02-12')
(u'monday september 6 1982', '1982-09-06')
(u'11.12.16', '2016-12-11')
(u'sep 19 1973', '1973-09-19')
(u'12 april 2000', '2000-04-12')
(u'wednesday february 20 1980', '1980-02-20')
(u'sunday january 7 1990', '1990-01-07')
(u'tuesday august 21 1984', '1984-08-21')
(u'3/9/70', '1970-03-09')
(u'18.05.17', '2017-05-18')
(u'2 dec 2003', '2003-12-02')
(u'11 02 09', '2009-02-11')
(u'1/7/70', '1970-01-07')
(u'29 jul 2003', '2003-07-29')
(u'16 apr 2002', '2002-04-16')
(u'wednesday march 14 1979', '1979-03-14')
(u'sep 7 1973', '1973-09-07')
(u'15 oct 2003', '2003-10-15')
(u'saturday march 24 1990', '1990-03-24')
(u'tuesday june 30 1987', '1987-06-30')
(u'december 21 2014', '2014-12-21')
(u'28 january 2012', '2012-01-28')
(u'tuesday october 30 1979', '1979-10-30')
(u'7 september 2006', '2006-09-07')
(u'1/7/71', '1971-01-07')
(u'thursday march 8 1984', '1984-03-08')
(u'3/27/70', '1970-03-27')
(u'3 nov 2002', '2002-11-03')
(u'saturday may 12 1979', '1979-05-12')
(u'thursday june 16 1994', '1994-06-16')
(u'wednesday november 21 1984', '1984-11-21')
(u'tuesday february 3 1981', '1981-02-03')
(u'21 nov 2006', '2006-11-21')
(u'tuesday september 1 1981', '1981-09-01')
(u'25 sep 2000', '2000-09-25')
(u'21 november 1998', '1998-11-21')
(u'september 30 2014', '2014-09-30')
(u'saturday january 13 1979', '1979-01-13')
(u'september 17 1975', '1975-09-17')
(u'2 april 2006', '2006-04-02')
(u'tuesday september 8 1987', '1987-09-08')
(u'23 jun 2008', '2008-06-23')
(u'tuesday august 14 1984', '1984-08-14')
(u'june 14 1974', '1974-06-14')
(u'august 21 2014', '2014-08-21')
(u'14 feb 2007', '2007-02-14')
(u'23.11.17', '2017-11-23')
(u'09.08.18', '2018-08-09')
(u'thursday february 1 1979', '1979-02-01')
(u'mar 5 1973', '1973-03-05')
(u'monday august 17 1981', '1981-08-17')
(u'saturday january 8 1983', '1983-01-08')
(u'27 may 2008', '2008-05-27')
(u'7 dec 2003', '2003-12-07')
(u'thursday december 18 1980', '1980-12-18')
(u'12 jun 2003', '2003-06-12')
(u'wednesday april 6 1988', '1988-04-06')
(u'may 11 2016', '2016-05-11')
(u'13 april 2011', '2011-04-13')
(u'july 1 1975', '1975-07-01')
(u'7 jan 1997', '1997-01-07')
(u'wednesday february 8 1978', '1978-02-08')
(u'19 july 2012', '2012-07-19')
(u'09.04.17', '2017-04-09')
(u'13 december 2005', '2005-12-13')
(u'12 jul 2007', '2007-07-12')
(u'friday september 15 1978', '1978-09-15')
(u'tuesday january 12 1988', '1988-01-12')
(u'30.08.18', '2018-08-30')
(u'thursday september 17 1987', '1987-09-17')
(u'6 10 09', '2009-10-06')
(u'tuesday october 12 1993', '1993-10-12')
(u'21 february 2012', '2012-02-21')
(u'september 22 2016', '2016-09-22')
(u'3 june 2011', '2011-06-03')
(u'october 22 2014', '2014-10-22')
(u'wednesday september 30 1987', '1987-09-30')
(u'tuesday july 13 1976', '1976-07-13')
(u'23 may 2007', '2007-05-23')
(u'19 october 2012', '2012-10-19')
(u'thursday august 2 1990', '1990-08-02')
(u'thursday may 12 1988', '1988-05-12')
(u'07 oct 2001', '2001-10-07')
(u'13.12.16', '2016-12-13')
(u'february 3 1976', '1976-02-03')
(u'25 09 09', '2009-09-25')
(u'7 11 08', '2008-11-07')
(u'4 may 2004', '2004-05-04')
(u'21 01 09', '2009-01-21')
(u'18 may 1998', '1998-05-18')
(u'30 06 10', '2010-06-30')
(u'5 october 1998', '1998-10-05')
(u'23 september 2012', '2012-09-23')
(u'january 26 2016', '2016-01-26')
(u'jun 29 1972', '1972-06-29')
(u'29 march 2000', '2000-03-29')
(u'08.11.17', '2017-11-08')
(u'saturday december 12 1987', '1987-12-12')
(u'1/30/71', '1971-01-30')
(u'tuesday april 4 1989', '1989-04-04')
(u'5 september 1998', '1998-09-05')
(u'thursday july 15 1982', '1982-07-15')
(u'april 4 2014', '2014-04-04')
(u'5/13/70', '1970-05-13')
(u'tuesday july 3 1984', '1984-07-03')
(u'14 09 09', '2009-09-14')
(u'friday february 19 1982', '1982-02-19')
(u'sunday november 26 1978', '1978-11-26')
(u'wednesday december 19 1984', '1984-12-19')
(u'saturday june 23 1979', '1979-06-23')
(u'19 december 2005', '2005-12-19')
(u'4 april 2012', '2012-04-04')
(u'sunday march 15 1981', '1981-03-15')
(u'27 november 2011', '2011-11-27')
(u'5 november 2011', '2011-11-05')
(u'tuesday july 25 1989', '1989-07-25')
(u'saturday june 24 1989', '1989-06-24')
(u'february 4 2013', '2013-02-04')
(u'wednesday july 6 1983', '1983-07-06')
(u'19 jun 2003', '2003-06-19')
(u'may 28 2016', '2016-05-28')
(u'9 nov 1997', '1997-11-09')
(u'monday march 29 1982', '1982-03-29')
(u'11 sep 1996', '1996-09-11')
(u'28 dec 1997', '1997-12-28')
(u'sunday july 18 1993', '1993-07-18')
(u'monday march 10 1980', '1980-03-10')
(u'1/18/71', '1971-01-18')
(u'14 november 2010', '2010-11-14')
(u'2/23/70', '1970-02-23')
(u'4 jul 2003', '2003-07-04')
(u'thursday january 5 1984', '1984-01-05')
(u'monday december 17 1984', '1984-12-17')
(u'jun 7 1972', '1972-06-07')
(u'7 oct 1997', '1997-10-07')
(u'monday september 10 1979', '1979-09-10')
(u'tuesday january 25 1977', '1977-01-25')
(u'tuesday march 12 1996', '1996-03-12')
(u'saturday july 30 1988', '1988-07-30')
(u'saturday september 14 1985', '1985-09-14')
(u'monday march 22 1982', '1982-03-22')
(u'monday march 18 1991', '1991-03-18')
(u'31 may 2006', '2006-05-31')
(u'11.04.17', '2017-04-11')
(u'saturday january 14 1995', '1995-01-14')
(u'sunday december 22 1985', '1985-12-22')
(u'sunday february 4 1979', '1979-02-04')
(u'2 march 2006', '2006-03-02')
(u'wednesday october 3 1979', '1979-10-03')
(u'thursday december 15 1977', '1977-12-15')
(u'8 november 1998', '1998-11-08')
(u'tuesday february 15 1994', '1994-02-15')
(u'oct 2 1972', '1972-10-02')
(u'1/7/70', '1970-01-07')
(u'3/25/70', '1970-03-25')
(u'thursday february 10 1983', '1983-02-10')
(u'17 08 10', '2010-08-17')
(u'7 08 09', '2009-08-07')
(u'monday june 4 1984', '1984-06-04')
(u'november 14 2015', '2015-11-14')
(u'thursday january 17 1991', '1991-01-17')
(u'15 september 1998', '1998-09-15')
(u'13 august 2006', '2006-08-13')
(u'july 23 1975', '1975-07-23')
(u'monday january 1 1979', '1979-01-01')
(u'29 august 2011', '2011-08-29')
(u'sunday september 19 1982', '1982-09-19')
(u'2 june 2006', '2006-06-02')
(u'tuesday january 28 1992', '1992-01-28')
(u'thursday october 24 1985', '1985-10-24')
(u'april 25 2016', '2016-04-25')
(u'23 jun 2001', '2001-06-23')
(u'dec 10 1973', '1973-12-10')
(u'saturday december 24 1983', '1983-12-24')
(u'wednesday june 17 1981', '1981-06-17')
(u'march 18 2016', '2016-03-18')
(u'24 mar 2001', '2001-03-24')
(u'saturday june 28 1980', '1980-06-28')
(u'friday march 9 1990', '1990-03-09')
(u'january 20 1976', '1976-01-20')
(u'5/9/70', '1970-05-09')
(u'tuesday january 30 1996', '1996-01-30')
(u'friday november 17 1989', '1989-11-17')
(u'monday february 2 1987', '1987-02-02')
(u'14 october 2010', '2010-10-14')
(u'22 jan 2008', '2008-01-22')
(u'8 november 2011', '2011-11-08')
(u'1 dec 2002', '2002-12-01')
(u'may 2 2015', '2015-05-02')
(u'10 february 2011', '2011-02-10')
(u'friday february 23 1990', '1990-02-23')
(u'2 august 2005', '2005-08-02')
(u'thursday january 17 1980', '1980-01-17')
(u'aug 27 1973', '1973-08-27')
(u'2/2/70', '1970-02-02')
(u'friday june 28 1991', '1991-06-28')
(u'friday january 28 1983', '1983-01-28')
(u'sunday february 14 1988', '1988-02-14')
(u'12 may 2004', '2004-05-12')
(u'8/31/71', '1971-08-31')
(u'3 jun 2003', '2003-06-03')
(u'sunday november 20 1988', '1988-11-20')
(u'11/19/71', '1971-11-19')
(u'monday february 7 1994', '1994-02-07')
(u'30 sep 2006', '2006-09-30')
(u'tuesday september 13 1977', '1977-09-13')
(u'9 october 2004', '2004-10-09')
(u'february 8 2014', '2014-02-08')
(u'friday november 21 1980', '1980-11-21')
(u'february 9 2015', '2015-02-09')
(u'friday april 2 1982', '1982-04-02')
(u'wednesday april 20 1988', '1988-04-20')
(u'18 mar 2003', '2003-03-18')
(u'monday may 8 1978', '1978-05-08')
(u'sunday october 28 1990', '1990-10-28')
(u'04 jan 2002', '2002-01-04')
(u'friday march 8 1985', '1985-03-08')
(u'dec 27 1973', '1973-12-27')
(u'05 jun 2007', '2007-06-05')
(u'15 december 2004', '2004-12-15')
(u'friday october 3 1980', '1980-10-03')
(u'tuesday june 23 1987', '1987-06-23')
(u'saturday april 12 1980', '1980-04-12')
(u'tuesday november 14 1995', '1995-11-14')
(u'28 november 2011', '2011-11-28')
(u'31 jul 2002', '2002-07-31')
(u'16 nov 2007', '2007-11-16')
(u'09 apr 2001', '2001-04-09')
(u'saturday july 8 1989', '1989-07-08')
(u'tuesday september 14 1982', '1982-09-14')
(u'july 16 1974', '1974-07-16')
(u'19 dec 2003', '2003-12-19')
(u'sunday august 24 1986', '1986-08-24')
(u'8/4/71', '1971-08-04')
(u'wednesday july 1 1987', '1987-07-01')
(u'september 16 2013', '2013-09-16')
(u'23 feb 2001', '2001-02-23')
(u'monday october 8 1990', '1990-10-08')
(u'oct 1 1972', '1972-10-01')
(u'21 august 2006', '2006-08-21')
(u'28 jun 1997', '1997-06-28')
(u'friday november 11 1977', '1977-11-11')
(u'03 feb 2002', '2002-02-03')
(u'27 jun 2008', '2008-06-27')
(u'wednesday november 14 1979', '1979-11-14')
(u'december 24 2015', '2015-12-24')
(u'10 aug 1997', '1997-08-10')
(u'02.09.18', '2018-09-02')
(u'friday march 12 1982', '1982-03-12')
(u'21 dec 2000', '2000-12-21')
(u'monday august 7 1995', '1995-08-07')
(u'monday november 14 1977', '1977-11-14')
(u'thursday april 15 1976', '1976-04-15')
(u'april 30 1974', '1974-04-30')
(u'july 2 2013', '2013-07-02')
(u'04.03.17', '2017-03-04')
(u'12/2/71', '1971-12-02')
(u'sunday august 25 1991', '1991-08-25')
(u'17 march 1999', '1999-03-17')
(u'25 may 1997', '1997-05-25')
(u'26 november 1998', '1998-11-26')
(u'29 aug 2002', '2002-08-29')
(u'friday may 23 1980', '1980-05-23')
(u'7/14/70', '1970-07-14')
(u'21 october 2004', '2004-10-21')
(u'26.07.18', '2018-07-26')
(u'january 31 2014', '2014-01-31')
(u'25.03.17', '2017-03-25')
(u'monday december 12 1983', '1983-12-12')
(u'09 apr 2007', '2007-04-09')
(u'27 aug 2002', '2002-08-27')
(u'jun 16 1972', '1972-06-16')
(u'wednesday april 1 1992', '1992-04-01')
(u'monday september 15 1980', '1980-09-15')
(u'19 september 2005', '2005-09-19')
(u'sunday august 22 1982', '1982-08-22')
(u'17 jan 1997', '1997-01-17')
(u'29 aug 1997', '1997-08-29')
(u'9 apr 1998', '1998-04-09')
(u'may 26 2014', '2014-05-26')
(u'february 24 1975', '1975-02-24')
(u'1 may 2004', '2004-05-01')
(u'sunday august 8 1993', '1993-08-08')
(u'july 21 1975', '1975-07-21')
(u'august 30 2015', '2015-08-30')
(u'thursday january 8 1987', '1987-01-08')
(u'9 april 2000', '2000-04-09')
(u'tuesday may 24 1983', '1983-05-24')
(u'october 20 1975', '1975-10-20')
(u'30 09 10', '2010-09-30')
(u'october 13 1974', '1974-10-13')
(u'14 april 2005', '2005-04-14')
(u'02.08.17', '2017-08-02')
(u'saturday may 16 1981', '1981-05-16')
(u'jan 29 1973', '1973-01-29')
(u'wednesday october 29 1986', '1986-10-29')
(u'february 2 1975', '1975-02-02')
(u'02.10.18', '2018-10-02')
(u'march 14 1975', '1975-03-14')
(u'tuesday april 4 1978', '1978-04-04')
(u'12/20/71', '1971-12-20')
(u'23.11.18', '2018-11-23')
(u'24 may 1999', '1999-05-24')
(u'dec 3 1973', '1973-12-03')
(u'7/19/70', '1970-07-19')
(u'friday november 2 1990', '1990-11-02')
(u'tuesday march 15 1983', '1983-03-15')
(u'1 december 2010', '2010-12-01')
(u'06 aug 2008', '2008-08-06')
(u'sunday january 17 1982', '1982-01-17')
(u'2/26/70', '1970-02-26')
(u'sunday october 10 1982', '1982-10-10')
(u'sunday june 5 1977', '1977-06-05')
(u'sunday april 5 1981', '1981-04-05')
(u'tuesday november 11 1980', '1980-11-11')
(u'3 sep 2002', '2002-09-03')
(u'monday march 18 1991', '1991-03-18')
(u'march 24 2014', '2014-03-24')
(u'21 11 09', '2009-11-21')
(u'wednesday june 9 1993', '1993-06-09')
